species,7  Li ,23  Na,24  Mg ,27  Al,51  V  [ He ] ,52  Cr  [ He ] ,55  Mn  [ He ] ,56  Fe  [ He ] ,57  Fe  [ He ] ,59  Co  [ He ] ,60  Ni  [ He ] ,63  Cu  [ He ] ,66  Zn  [ He ] ,75  As  [ He ] ,88  Sr  [ He ] ,111  Cd  [ He ] ,137  Ba  [ He ] ,139  La  [ He ] ,146  Nd  [ He ] ,147  Sm  [ He ] ,206  [Pb]  [ He ] ,207  [Pb]  [ He ] ,208  Pb  [ He ] ,238  U  [ He ] 
Amphi,20.8949594,20351.36145,46441.90516,,0.1816164308,,30.54713613,,29.56227154,,6.577955276,15.71314012,29.96607681,0.3026915152,1865.972445,0.04552594304,,0.1224757935,0.1044055027,0.02036352625,1.664079492,1.500771259,1.560448149,0.01541216729
Amphi,17.38422892,29559.28632,40460.20317,,,,11.94905114,,,,1.22869311,,,,1803.961016,0.01266113588,,0.0994365181,0.1022266395,0.01503893551,0.6369169351,0.5737044205,0.5983831745,0.01047762704
Amphi,20.29976438,14434.60191,39980.22924,,,,14.35226258,,,,,,,,1775.695252,0.02328291134,,0.0977835582,0.09761820215,0.01269709127,0.718866246,0.6415063944,0.6699308999,0.0113065502
Amphi,21.65048477,35265.83051,39437.29132,,,,10.80079859,,,,,,,,1749.3718,0.01411505786,,0.1083393889,0.09065417032,0.01274670153,0.6334778581,0.5503278699,0.5854426124,0.009609304306
Amphi,18.55279186,28355.93407,41472.88305,,,,12.31975978,,,,3.931509654,8.005315517,,,1827.669656,0.0286754109,,0.09411957646,0.0969587883,0.01143404828,0.7910971363,0.6976597596,0.7324416663,0.01164165173
Amphi,27.08165242,25998.29858,42674.28637,,,,15.09319,,21.15492481,,,,,,1746.045348,0.01697389735,,0.1340901072,0.1047434175,0.01541240801,0.8293743163,0.7284634896,0.7675273156,0.01149677508
Amphi,20.10675322,18598.12758,39629.41348,,,,14.93779597,,,,,,,,1720.834827,0.01748095001,,0.110385247,0.1092609911,0.02329859303,0.6956175542,0.6219769554,0.6520408548,0.01083093934
Amphi,20.47102559,32527.74776,45808.39066,,,,19.15848083,,25.69970615,,,2.259718398,,,1742.791863,0.02348060276,,0.1538917436,0.1502767728,0.01919864197,1.023335941,0.9092203012,0.9564309912,0.01641157657
Amphi,20.14686509,21219.22537,38614.9314,46.67391945,,,12.10588884,,,,1.55486952,,,,1724.026058,0.02938415556,,0.1183564928,0.1224535962,0.02203913891,0.8694434326,0.7590858251,0.8072647055,0.01166174065
Amphi,21.41737196,20577.99689,38412.27405,,,,15.33085899,,17.72485685,,,,,0.1708123735,1696.193196,0.02728312416,,0.08486474451,0.09745595365,0.01554452563,0.7497969455,0.6452976088,0.6873580551,0.01034601622
Amphi,23.84118999,30554.368,42795.4407,,,,12.00783495,,,,,,,,1820.934776,0.03688408718,,0.1290505644,0.1343256138,0.03136325968,0.907706868,0.8013075468,0.8334506537,0.01354986894
Amphi,19.42157358,14705.12227,42768.3142,,,,10.49044622,,,,,,,,1811.926139,0.02424162454,,0.1052127797,0.1170335405,0.02145208295,0.7677205827,0.6916285783,0.7182721922,0.01375974982
Amphi,28.13853062,17446.99157,45509.76525,,,,11.85214638,,,,,,,,1824.920999,0.01979757022,,0.09900275514,0.1187775251,0.02863390719,0.8793678283,0.7959139115,0.8150510422,0.01187892771
Amphi,27.46667619,19883.99547,43520.67434,,,,19.02681633,,,,,,,,1636.08283,0.06554862992,,0.1280011423,0.1273147527,0.03528657292,1.507902076,1.328450507,1.387951468,0.01310072694
Amphi,20.59022192,16884.24798,44089.57597,,,,21.68777998,,,,,,,,1696.812549,0.01816771578,,0.1918008822,0.2186099686,0.05785977794,1.480697716,1.338497292,1.391849702,0.01366577564
Amphi,19.23173943,42421.96704,42587.66397,,0.1825028589,,23.53739683,,,,3.122434177,,,,1707.341622,0.03284034106,,0.1367583773,0.1398435693,0.02924944075,1.149024362,1.032144477,1.074294406,0.01566324388
Amphi,,29219.90642,42543.8885,,,,19.15848674,,,,,,,,1650.823335,0.0526603653,,0.1278911359,0.1496452039,0.02380081775,1.393446323,1.189922054,1.283782732,0.01549353191
Amphi,20.8366681,13984.85343,39257.39168,,,,19.97583252,,,,8.630786423,36.22798618,,,1699.102659,0.03212540406,,0.1350893767,0.1469333584,0.02843228042,1.602914761,1.454207644,1.513784661,0.01406765394
Amphi,32.47448746,36379.61261,40865.15663,,,,16.55056379,,,,10.82624673,19.68084628,,,1622.877849,0.03378128081,6.279773255,0.09910870789,0.08325861147,,1.065160833,0.9688183411,1.00969904,0.01178069287
Amphi,16.55002655,20310.57617,44744.6947,,,,19.26620256,,,,3.104184656,,,,1642.016621,0.03569494015,,0.122393463,0.1143629926,0.02375349478,1.154007408,1.043942078,1.085092297,0.01369911414
Amphi,22.46968519,53292.81049,44073.11901,,0.2594705276,,20.98575617,,,,,,,0.6740491904,1653.482684,0.05471541219,,0.1350352463,0.1128351197,,1.924237076,1.670149733,1.784506233,0.01393582377
Amphi,16.70158358,40583.74912,41519.50091,,0.4367400209,,23.80930301,,40.1287141,,3.572183676,4.242013561,,0.5799846225,1648.067539,0.04357996329,,0.1554701983,0.1424119986,0.02393788233,2.005299997,1.77758661,1.873946037,0.01738808912
Amphi,18.39979474,58013.19019,42043.76158,,0.1840682987,,24.76241275,,,,4.813078168,,,,1650.111231,0.04536338763,,0.1772690586,0.1906234972,0.04770670853,1.703233898,1.4598032,1.571271517,0.0144638551
Amphi,12.1310309,64725.28657,41130.20306,,0.2841063398,,26.06193795,,,,2.562282294,7.828137562,,0.4124413514,1651.318674,0.04661685552,,0.1486701929,0.1145362114,0.02082452382,2.93416805,2.565234108,2.714696201,0.01536259275
Amphi,19.61117628,57054.83895,42266.14598,,0.3060619751,,35.45612547,,,,2.66540971,12.51087764,,0.6011591701,1680.835677,0.05455356063,,0.1318591643,0.08060400495,0.01761672843,4.253422666,3.687292376,3.940262146,0.01458578896
Amphi,17.14070935,22805.1551,37319.36148,,,,12.45411275,,41.8122731,,2.678903801,8.489219035,,,1624.051638,0.03275486563,,0.1585463883,0.1775020411,0.02372207347,4.995117382,4.292245024,4.562549784,0.02240783751
Amphi,17.3438653,59511.25853,41018.49352,,0.2387828232,,13.36825419,,,,,13.95515724,,0.6568619499,1639.504971,0.03525765321,,0.1173750187,0.1012148529,0.01699910419,5.390929002,4.646048052,4.955705069,0.01740400239
Amphi,15.63991321,67964.0874,37947.77335,,,,10.67199366,,,,,11.92107946,,0.7059763241,1606.897098,0.03501710595,,0.123284686,0.1294003967,0.0367069067,4.868736086,4.139986965,4.437766682,0.01274636425
Amphi,,138220.2751,40499.87827,,,,9.831444027,,,,,23.25072395,,,1595.575835,,,0.1286385898,0.1360872958,,9.657633917,8.212135116,8.790987045,0.01151031437
Amphi,,38232.01797,38689.00125,,,,8.363704083,,,,,17.37654688,,,1597.79413,,,0.152572698,0.1274895682,,6.238963478,5.418397731,5.770598262,0.01329447439
Amphi,21.88805003,82649.60841,40660.92389,,,,25.98889331,,,,,,,,1634.557567,0.05082467034,,0.1071190889,0.1040929081,,1.858345276,1.633883141,1.744353761,0.014011378
Amphi,,88987.33982,38773.03115,,,,13.64068106,,,,,12.74908101,,,1574.293,0.04628749037,,0.1531739338,0.1667097379,,6.072500558,5.224377067,5.531371162,0.02029463183
Amphi,,188825.7086,34812.49497,,,,11.49337171,,,,5.843065209,13.56231804,,,1549.609912,0.04657842498,,0.1030014747,0.05663281527,,7.005537075,6.188339564,6.464316546,0.01223963886
Amphi,,126603.7969,37804.45837,,,,12.70418502,,,,,8.822839697,,,1583.07502,0.05682725388,,0.1052891679,0.09638425872,,3.806130652,3.278417927,3.487620287,0.01266421761
Amphi,22.69024875,103326.0052,37267.84025,,,,15.18683711,,,,,14.63968291,,,1556.208163,,,0.1194876208,0.118017718,,6.415272715,5.658983492,5.901780469,0.01288943643
Amphi,,141882.0398,35458.56859,,,,13.95433018,,,,7.307309161,18.60881942,,1.010877896,1525.614245,,,0.124825655,0.105430135,,7.162177613,6.191882551,6.550295152,0.01354788575
Amphi,21.74212917,87368.36255,36121.90531,,,,8.976332918,,,,,17.94288529,,,1578.122445,,,0.1322279702,0.1247404967,,6.725959755,5.839105901,6.132421442,0.01134062173
Amphi,,117106.1706,36988.76898,,,,12.57240761,,,,,16.96009448,,0.8879507267,1514.773768,,,0.1448169903,0.130690928,,6.191267665,5.278470012,5.624721472,0.01240924431
Rosalina ,,1894988.084,72604.81238,,3.76413113,,89.44502173,1686.869083,1744.691426,,55.95513396,,,,1963.146256,,,2.261450846,2.035888476,0.5039125279,30.44233205,26.47171706,28.04395016,
Rosalina ,,1847611.271,75062.67456,,3.115870123,,56.21470565,1557.660883,1671.462743,,,,,,2078.321169,0.2634763295,,2.569799468,3.04221195,0.5531863262,27.53396208,24.10602915,25.18705598,
Rosalina ,,1510813.536,87605.03776,,5.58617881,,56.97526463,2327.554655,2420.297142,,76.59677885,,,,2229.087987,,,2.156456036,2.731429533,0.3014553008,28.9776164,25.06315013,26.72681785,
Rosalina ,,2077819.95,76474.7422,,5.26981136,,,1982.606202,2107.957871,,80.89328992,,,,1999.07526,,,2.630021658,3.054644591,,33.60430467,28.59888289,30.61304111,
Pararotalia ,27.27105491,145464.1563,147663.2717,,,,20.48506003,,,,,10.64268156,,2.00954698,2181.078941,0.0635381442,,1.22186014,1.061716001,0.3085561298,6.510950333,5.634437906,5.964198232,0.03555692239
Pararotalia ,43.84055813,123944.7502,147082.9932,157.2253556,0.2807507155,,18.92817246,,66.26172462,,,9.261011039,,1.706666136,2158.680157,0.04842124483,,1.285872077,1.133561244,0.3580174131,5.063661151,4.449122359,4.703314182,0.04118345591
Pararotalia ,36.81239259,164273.9201,135687.7002,395.2409176,0.5551167621,,80.86319242,338.0986126,349.7055203,0.5671420364,,15.995082,,1.778017331,2052.55625,0.08152297824,,1.350578494,1.284743002,0.425184484,6.495641406,5.571188341,5.911568813,0.03714320871
Pararotalia ,31.17691749,110090.1542,144118.9321,167.6120182,0.3104884753,,34.2389388,101.738489,117.1599671,,3.32427184,8.65087415,,0.8661314859,2146.159711,0.08499293493,,1.728787106,1.637856737,0.3842611783,9.393574937,8.244453887,8.67462827,0.03800135258
Pararotalia ,43.29636938,155230.9824,146501.2236,,,,11.83727923,,67.19735274,,,17.44821651,,1.074555588,2204.791828,0.06797167029,,1.023461052,1.011555525,0.2523507989,9.742515358,8.512985953,9.042753674,0.04732405575
Pararotalia ,24.51035507,108202.9,144864.3879,,0.2496725698,,221.5337492,147.5414629,154.1316712,,,21.55090908,,1.254550183,2125.0762,0.06730070604,,0.9695764681,0.9755725981,0.3421922406,11.39727969,9.916912799,10.44913663,0.03288911305
Pararotalia ,35.68718233,233458.9374,143238.3211,183.5598359,0.3772997316,,17.53370031,108.3749652,109.8395337,,,24.1504231,,0.6649748588,2159.528619,0.07678704132,,1.231180365,1.144279348,0.3726031989,12.70751879,11.02264971,11.70105091,0.03654942074
Pararotalia ,37.13465735,114295.708,144825.7013,132.6083804,0.4777157731,,13.21229208,145.0864919,155.5869706,,,25.55680513,,1.204561995,2136.770168,0.05711556727,,1.058345762,1.021800469,0.2892369378,12.29182001,10.66697605,11.33560819,0.03108390549
Pararotalia ,32.72826891,99974.94378,148067.4146,,0.3091988603,,15.03367166,92.26585478,103.999787,,,33.36493118,,1.216474743,2161.446568,0.04259570001,,1.062478051,1.059567368,0.2499613307,11.50641259,10.04883659,10.62262779,0.03738410409
Pararotalia ,42.42857172,106262.7598,149157.1456,,0.3972094865,,14.48157214,84.19551343,92.27519657,,,34.37097865,,1.387485583,2150.066402,0.03907031136,,1.063963422,1.019059513,0.3069409649,11.88060101,10.27391127,10.95211814,0.03302633614
Peneroplis,,,141338.4481,300.6676471,,,186.9508654,218.3297588,184.3798781,,13.4872035,30.38498396,,,1844.31053,0.262223915,,9.106101343,10.16034,2.120737787,25.33496132,22.35302164,23.52559626,0.1749294145
Peneroplis,,,147390.2075,,,,153.8278585,,,,9.613739794,,,,1753.771467,0.2051347689,,7.627791559,8.739697601,1.787335433,17.5135347,15.61959183,16.26304024,0.1267737764
Peneroplis,,,150577.6783,,,,134.9935232,,,,19.09932889,21.60361933,,,1710.91527,0.1183322157,,7.22713387,7.447622136,1.60004101,17.9686813,15.90060372,16.53809816,0.1443777203
Peneroplis,,,142958.7613,,,,279.9047305,,,,,,,2.284990069,2004.431261,0.1835866584,,10.04302569,10.93281089,2.232843098,33.80379341,29.72654904,31.24580147,0.1859901845
Peneroplis,,,148386.484,,,,179.0422986,,,,,,,,1753.342808,0.1126545057,,7.657226893,8.569214651,1.884449919,27.83917553,24.32636719,25.60483118,0.150977755
Peneroplis,,,147152.1949,,,,148.6482831,,,,18.40697904,18.14190243,,1.384059164,1721.640144,0.1039718385,,7.576380648,8.488796575,1.663994168,26.15382859,22.51182107,23.91336469,0.1344007055
Peneroplis,,,148462.5388,,,,181.1519189,,,,,24.8385575,292.5349514,1.442101131,1826.636915,0.1642465414,,8.835644726,10.10621626,1.884728455,36.25508509,31.84894283,33.40542959,0.1358532512
Peneroplis,,,149892.4591,,,,187.5045487,,,,,25.39802482,517.8521117,1.448364596,1831.033901,0.105197358,,8.454470441,9.233212088,2.009713199,43.97051059,38.60860156,40.45693176,0.14705882
Peneroplis,,,148288.2744,,,,157.9588913,,,,,21.04668155,343.4174985,,1796.339474,0.2654352724,,7.587179305,8.303959193,1.446116201,38.91846175,34.39602029,35.94005034,0.1348846502
Peneroplis,,,148094.7207,286.8244397,,,212.8443016,,,,,28.06305373,252.4691661,1.535528328,1823.205652,0.1645239306,,8.555696907,9.20881165,1.807755251,41.39215587,36.23245671,38.18530953,0.1411305445
Peneroplis,,,151029.985,,,,145.2537681,159.5729139,165.4760957,,44.32615303,43.64968647,195.5550782,1.241509245,1751.976945,0.1666636556,,6.868007301,7.212126619,1.345533542,17.77817365,15.74517641,16.5796051,0.1468058016
Peneroplis,,,146192.341,,,,113.5372204,,,,23.68282012,13.00331358,,,1709.682442,0.1834603571,,5.606642384,5.924236864,1.099386541,13.52045495,11.80860156,12.51141888,0.1283777361
Peneroplis,,,149508.838,,,,128.0356872,,,,8.490357747,,,,1713.430017,0.1330666503,,6.504203108,6.97907051,1.221784166,10.78982309,9.646380466,10.12622586,0.1581462226
Peneroplis,,,151660.4685,,,,109.0297248,,,,22.92491468,,,,1687.351248,0.1302485553,,5.195018321,5.097901025,0.9150023629,9.915348062,8.6448413,9.154821764,0.1308210565
Peneroplis,,,153109.8973,,,,104.680043,,,,27.53814518,,,,1798.255062,0.1364534134,,5.341110514,5.72471345,0.9920690285,13.05614541,11.48881659,12.09478977,0.1497014432
Peneroplis,,,152392.3237,,,,131.5843095,,,,10.02469522,14.03122231,,1.261306084,1717.646037,0.1529602733,,5.790995328,6.185426274,1.24439798,17.96210981,15.59529364,16.57260456,0.1276124873
Peneroplis,,,144773.5479,288.5792604,,,139.8815972,,,,28.87078645,24.10132499,,2.102320882,1722.655387,0.1724810357,,6.077848925,6.468984062,1.129063156,21.08483563,18.21388231,19.36078961,0.13902401
Peneroplis,,,148294.6996,,,,136.3653115,,109.3858443,,,19.59285892,141.8008487,1.593288951,1738.536017,0.1859361294,,6.685219722,6.935362609,1.187116192,23.95000865,20.60326474,21.94822036,0.1363204858
Peneroplis,,,148790.7312,,,,161.2103724,115.5787953,115.8095494,,6.002286842,20.58588729,,1.368563345,1732.701019,0.145851512,,6.558556012,7.002318953,1.126528788,27.53584209,23.51610888,25.09480455,0.123985352
Peneroplis,,,150056.3362,,,,98.28883688,,,,,,256.8214329,,1710.027177,0.1594378792,,5.291426471,5.64646705,1.072539581,19.77606333,17.21760774,18.27930958,0.1383673186
Peneroplis,,,149805.0638,,,,138.3453708,,,,28.60186884,17.5225173,212.2865733,,1837.071,0.1913969773,,6.265663251,5.3368609,0.9352669173,20.8496858,18.27961367,19.34458154,0.1608020894
Peneroplis,,,146023.2177,,,,111.7979548,,,,119.6674564,,,,1758.245293,0.2102037613,,5.848956725,5.244776192,0.9384869219,14.83587388,13.30562165,13.91007541,0.1509821068
Peneroplis,,,146433.4382,,,,101.0191205,,,,58.51802107,29.99470323,,,1826.551929,0.1292381581,,4.918656108,4.275152099,0.9737259169,12.07500093,10.68099733,11.24006644,0.1566437078
Peneroplis,,,152220.5646,,,,115.597663,,,,84.30742622,23.09116281,,,1798.670039,0.1886713449,,5.061454949,4.547813303,0.9230387575,14.24890524,12.66480038,13.32717048,0.1642526229
Peneroplis,,,147575.96,,,,103.3592285,,,,35.81437625,,,,1783.00498,0.184486413,,5.722085511,5.203494729,1.092270361,18.12095376,16.12070873,16.76988516,0.1560777008
Peneroplis,,89391.60075,145540.8198,,,,106.9209435,,,,19.02338453,,,,1736.729864,0.1776327138,,5.407053584,4.575881195,0.9297546013,17.70240651,15.62478064,16.34056269,0.1342962975
Peneroplis,,,144054.8207,,,,137.6524654,116.2268383,127.1743188,,8.625614717,17.00288997,182.1262615,1.458221867,1762.268568,0.2156716941,,6.022608278,5.3322668,0.950527066,36.49685286,31.62231723,33.44030894,0.147317142
Peneroplis,,,144791.4251,,,,124.8820397,,,,7.278633253,14.69423075,164.3535746,1.368461968,1818.418868,0.247460909,,5.610669104,5.162276917,1.055353706,29.80712001,26.09185447,27.50120049,0.1466416833
Peneroplis,,34573.87786,144631.6842,,,,127.0033344,,112.1231255,,5.626982269,13.92692046,135.1994366,1.05491692,1778.29185,0.1320937549,,5.703879131,5.040665934,0.9823344105,27.61594653,24.31542216,25.51651583,0.133691616
Peneroplis,,159059.7822,143037.9343,,,,131.4151461,,,,,13.94641923,247.2502625,,1777.730638,0.2131612206,,5.961207783,5.40281084,1.095921932,32.14841202,28.13402316,29.48429643,0.1314372613
Sorites,6.916937957,,146943.9611,267.6815905,0.4273492092,0.8951846433,292.9576835,138.6503208,154.7678001,0.479297902,4.052509131,10.71530695,92.86511301,1.863668105,1980.38631,0.1676895116,5.15185963,6.394431889,6.569218728,1.032974461,15.94428054,14.3567278,14.94111597,0.1653018669
Sorites,,8889.025064,147141.4327,162.2974957,0.3799749772,0.730085696,283.4910791,103.0913663,117.835388,0.4731245997,230.2827483,10.29800034,95.25487734,2.476441501,1980.808886,0.1614076765,4.830794247,6.949769487,7.319190374,1.06594442,17.13923854,15.48965507,16.08016222,0.1730124323
Sorites,5.220937725,12003.45142,144665.8096,177.070188,0.3290830449,0.7163359287,288.7615007,98.50963774,112.9809247,0.4367971313,2.282229837,7.552575602,83.6897649,2.146117283,1994.502492,0.1443823009,5.494785553,6.709775241,7.002556347,1.121607928,16.46056264,14.83606189,15.36777592,0.1697854734
Sorites,4.584210195,6662.443092,145491.1462,186.9666295,0.395412031,0.8350783379,300.403664,108.1095486,127.8751384,0.4245348453,3.254780402,11.95927958,121.2188429,1.877015854,2001.595151,0.1656423973,5.49192914,7.061000433,7.640145959,1.167967364,21.09816777,19.0789427,19.77468471,0.1700905971
Sorites,,14747.69359,146431.5082,51.65288161,0.2481887376,0.9542252227,316.1288016,69.22749556,84.43901627,0.4454604391,2.360650269,15.16184106,99.04699171,1.55808545,1965.349529,0.2018217903,5.0668361,6.23312263,6.437452931,0.9266728388,35.11893756,31.39545664,32.64830169,0.1621088118
