Site,Habitat,Date,Ju_Amphistegina,A_lessonii,A_lobifera,Sorites,A_hemprichii,O_ammonides,Ammonia_sp,Nonion_sp,B_striatula
SB,L,Jan20,14.39490446,14.9044586,4.840764331,0.5095541401,11.08280255,0,0,0,0
SB,L,Jan20,0.8917197452,7.770700637,2.675159236,0.2547770701,2.675159236,0,0,0,0
SB,L,Jan20,1.401273885,39.23566879,3.949044586,0.127388535,3.949044586,0,0,0,0
SB,L,Apr20,1.27388535,4.968152866,0.3821656051,0.127388535,0.3821656051,0,0,0,0
SB,L,Apr20,0.3821656051,4.840764331,1.01910828,0,0,0,0,0,0
SB,L,Apr20,2.929936306,37.8343949,2.929936306,0.2547770701,1.146496815,0,0,0,0
SB,L,May20,3.057324841,15.92356688,1.78343949,4.458598726,0.7643312102,0,0,0.127388535,0
SB,L,May20,2.802547771,4.076433121,0.2547770701,0,0.127388535,0,0,0,0.6369426752
SB,L,May20,0,1.52866242,0.2547770701,0.2547770701,0,0,0,0,0
SB,L,Jun20,0,5.605095541,0.3821656051,0.2547770701,0,0,0,0.127388535,0
SB,L,Jun20,0.6369426752,4.076433121,0.5095541401,0.3821656051,0.3821656051,0,0,0,0
SB,L,Jun20,1.01910828,16.30573248,1.146496815,0.6369426752,0.3821656051,0,0,0,0
SB,L,Jul20,1.910828025,48.91719745,0.2547770701,0.7643312102,0.2547770701,0.2547770701,0.127388535,0.127388535,0.127388535
SB,L,Jul20,0.2547770701,14.52229299,0.7643312102,1.01910828,0.6369426752,0.3821656051,0.127388535,0.2547770701,0.127388535
SB,L,Jul20,0,8.662420382,0.6369426752,2.420382166,0.3821656051,0.127388535,0.127388535,0,0.127388535
SB,L,Sep20,0.127388535,3.949044586,0.2547770701,0.127388535,0,0.127388535,0,0,1.146496815
SB,L,Sep20,0,12.22929936,2.165605096,3.694267516,3.694267516,0,0,0.5095541401,1.27388535
SB,L,Sep20,0.127388535,17.32484076,2.929936306,0.3821656051,1.27388535,1.146496815,0,0.2547770701,1.146496815
SB,L,Sep20,0.127388535,15.2866242,2.038216561,1.01910828,2.802547771,0,0,0,0.5095541401
SB,L,Oct20,0,3.439490446,0.6369426752,0.3821656051,3.439490446,0.127388535,0,0,0
SB,L,Oct20,0,2.929936306,0.8917197452,0.7643312102,4.713375796,0.127388535,0,0,0.2547770701
SB,L,Oct20,0,3.439490446,5.605095541,2.165605096,9.426751592,0,0,0,0
SB,L,Oct20,0,0.7643312102,1.52866242,1.401273885,2.420382166,0.127388535,0,0,0
SB,L,Nov20,0,3.566878981,3.439490446,8.917197452,8.917197452,0,0,0,0
SB,L,Nov20,0,2.802547771,5.605095541,5.222929936,10.44585987,0.2547770701,0,0,0
SB,L,Nov20,0,0.3821656051,0.8917197452,4.968152866,4.076433121,0.127388535,0,0,0
SB,L,Nov20,0,5.605095541,6.624203822,12.61146497,7.261146497,0,0,0,0
SB,L,Jan21,9.426751592,7.643312102,1.910828025,6.114649682,2.038216561,0,0,0,0
SB,L,Jan21,0.5095541401,14.52229299,7.643312102,1.52866242,1.910828025,1.01910828,0.127388535,0,0.127388535
SB,L,Jan21,0,3.439490446,1.52866242,0.3821656051,0.2547770701,0,0,0,0
SB,L,Jan21,0,12.86624204,1.27388535,0.3821656051,0.2547770701,1.27388535,0,0,0
SB,L,Jan21,0.3821656051,8.280254777,2.292993631,0.7643312102,0.6369426752,0.3821656051,0,0,0
SB,L,Feb21,98.98089172,122.9299363,17.32484076,8.280254777,18.98089172,0.127388535,0.5095541401,0,0.3821656051
SB,L,Feb21,1.52866242,132.4840764,9.936305732,10.44585987,9.426751592,0.2547770701,0.127388535,0,0.2547770701
SB,L,Feb21,3.821656051,81.91082803,11.84713376,9.171974522,14.14012739,0.8917197452,0,0,0
SB,L,Feb21,0.5095541401,23.43949045,7.770700637,5.222929936,8.789808917,0.127388535,0,0,0.127388535
